Player,avg pick
A. Rodgers GB - QB,21
M. Ryan Atl - QB,51.2
D. Brees NO - QB,35.6
D. Johnson Ari - RB,1.2
K. Cousins Was - QB,96.3
D. Prescott Dal - QB,84.4
M. Stafford Det - QB,114.2
A. Luck Ind - QB,46.8
D. Carr Oak - QB,101
E. Elliott Dal - RB,3.5
T. Brady NE - QB,25.6
A. Dalton Cin - QB,121.2
S. Bradford Min - QB,119.7
R. Wilson Sea - QB,58.4
L. Bell Pit - RB,2.4
T. Taylor Buf - QB,125.4
J. Flacco Bal - QB,129.1
B. Roethlisberger Pit - QB,74.4
Denver Den - DEF,69.2
B. Bortles Jax - QB,133.7
A. Smith KC - QB,117.9
L. McCoy Buf - RB,8
New England NE - DEF,85.2
D. Murray Ten - RB,16.5
New York NYG - DEF,137.7
J. Winston TB - QB,75.6
M. Mariota Ten - QB,57.8
Arizona Ari - DEF,84.5
Kansas City KC - DEF,78.5
Minnesota Min - DEF,87.8
C. Palmer Ari - QB,129.7
M. Evans TB - WR,8.1
D. Freeman Atl - RB,13
Philadelphia Phi - DEF,127.4
C. Wentz Phi - QB,130.2
A. Brown Pit - WR,3.9
P. Rivers LAC - QB,110.3
Baltimore Bal - DEF,131.2
E. Manning NYG - QB,123.1
J. Nelson GB - WR,14.7
O. Beckham Jr. NYG - WR,5.5
Carolina Car - DEF,106.7
L. Blount Phi - RB,79.4
M. Gordon LAC - RB,10.7
C. Newton Car - QB,71.1
J. Howard Chi - RB,10.9
Seattle Sea - DEF,72
M. Ingram NO - RB,66.8
Tampa Bay TB - DEF,118.9
J. Ajayi Mia - RB,13.2
T. Hilton Ind - WR,20.1
Houston Hou - DEF,75.5
J. Jones Atl - WR,7.2
R. Tannehill Mia - QB,128.9
M. Thomas NO - WR,17.6
Los Angeles LAR - DEF,119.6
T. Hill KC - WR,53.6
Los Angeles LAC - DEF,129.2
Miami Mia - DEF,127.5
Buffalo Buf - DEF,139.4
D. Adams GB - WR,42.9
L. Murray Min - RB,98.1
D. Baldwin Sea - WR,24.1
F. Gore Ind - RB,100.2
Cincinnati Cin - DEF,145.5
M. Crabtree Oak - WR,47.9
Pittsburgh Pit - DEF,134.7
L. Fitzgerald Ari - WR,71.3
I. Crowell Cle - RB,36.4
B. Cooks NE - WR,28.5
Dallas Dal - DEF,118.4
Oakland Oak - DEF,140.3
Tennessee Ten - DEF,116.8
J. Landry Mia - WR,56.2
L. Miller Hou - RB,24
B. Powell NYJ - RB,96.2
T. Kelce KC - TE,37.8
A. Cooper Oak - WR,23.3
Atlanta Atl - DEF,118.4
C. Hyde SF - RB,50.4
J. Edelman NE - WR,48.1
T. Gurley LAR - RB,23.4
Landon Collins NYG - S,1000
Green Bay GB - DEF,142.2
D. Thomas Den - WR,32.8
T. Williams LAC - WR,103.4
T. Pryor Sr. Was - WR,42.2
K. Rudolph Min - TE,89.1
S. Ware KC - RB,53.4
G. Tate Det - WR,77.5
Jacksonville Jax - DEF,142.7
R. Matthews Ten - WR,1000
E. Sanders Den - WR,56.4
Washington Was - DEF,1000
Kwon Alexander TB - LB,1000
T. Coleman Atl - RB,84
D. Hopkins Hou - WR,28
J. Hill Cin - RB,104.2
A. Robinson Jax - WR,36.9
G. Olsen Car - TE,45.8
M. Forte NYJ - RB,114.9
J. Crowder Was - WR,84.9
Justin Tucker Bal - K,1000
Alec Ogletree LAR - LB,1000
Zach Brown Was - LB,1000
T. West Bal - RB,1000
Khalil Mack Oak - DE,1000
J. Graham Sea - TE,53.6
Lavonte David TB - LB,1000
D. Walker Ten - TE,62.6
Matt Bryant Atl - K,1000
Z. Ertz Phi - TE,88.9
R. Mathews Phi - RB,1000
Bobby Wagner Sea - LB,1000
Telvin Smith Jax - LB,1000
C. Brate TB - TE,1000
J. Stewart Car - RB,1000
Kiko Alonso Mia - LB,1000
Sean Lee Dal - LB,1000
Thomas Davis Car - LB,1000
Deion Jones Atl - LB,1000
M. Bennett GB - TE,68.9
J. Reed Was - TE,47.4
Mark Barron LAR - LB,1000
Tony Jefferson Bal - S,1000
Christian Kirksey Cle - LB,1000
Eric Kendricks Min - LB,1000
K.J. Wright Sea - LB,1000
Adam Vinatieri Ind - K,1000
Paul Posluszny Jax - LB,1000
D. Pitta Bal - TE,1000
Benardrick McKinney Hou - LB,1000
Ryan Shazier Pit - LB,1000
Nigel Bradham Phi - LB,1000
Von Miller Den - LB,1000
Lorenzo Alexander Buf - LB,1000
Johnathan Cyprien Ten - S,1000
Keanu Neal Atl - S,1000
A. Gates LAC - TE,1000
J. Witten Dal - TE,1000
J. Doyle Ind - TE,1000
Wil Lutz NO - K,1000
Caleb Sturgis Phi - K,1000
Dan Bailey Dal - K,1000
Graham Gano Car - K,1000
Sebastian Janikowski Oak - K,1000
Matt Prater Det - K,1000
E. Ebron Det - TE,1000
H. Henry LAC - TE,1000
Brandon McManus Den - K,1000
Dustin Hopkins Was - K,1000
C. Fleener NO - TE,1000
C. Fiedorowicz Hou - TE,1000
Nick Novak Hou - K,1000
G. Barnidge Cle - TE,1000
C. Clay Buf - TE,1000
Stephen Gostkowski NE - K,1000
Jason Myers Jax - K,1000
Mason Crosby GB - K,1000
D. Allen NE - TE,1000
Ryan Succop Ten - K,1000
Cairo Santos KC - K,1000
Z. Miller Chi - TE,1000
Chris Boswell Pit - K,1000
Steven Hauschka Buf - K,1000
Josh Lambo LAC - K,1000
T. Eifert Cin - TE,65
V. Davis Was - TE,1000
L. Kendricks GB - TE,1000
Phil Dawson Ari - K,1000
R. Griffin Hou - TE,1000
Nick Folk TB - K,1000
Greg Zuerlein LAR - K,1000
Roberto Aguayo TB - K,1000
Chandler Catanzaro NYJ - K,1000
